feature,importance
Time,1.5292865669736977
Polymer MW,0.20099727839325388
Drug Encapuslation Efficiency,0.1689743386835199
Drug MW,0.11138591333224805
Drug Loading Capacity,0.07008093093471982
Particle Size,0.05483804464355897
Initial Drug-to-Polymer Ratio,0.04097915440757248
Drug TPSA,0.03666305592229589
Drug LogP,0.02975546595669875
Solubility Enhancer Concentration,0.022428732845508424
LA/GA,0.005818471759926868
